,fiyat,ekran_boyutu,islemci_cekirdek_sayisi,islemci_hizi,disk_tipi,ram_tipi,gpu_model,parmak_izi_okuyucu,isletim_sistemi,ekran_cozunurluk,ram_miktari,gpu_miktari,disk_kapasitesi,hdmi,marka
63,19974,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,Casper
64,18999,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,512,Var,Asus
65,22099,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,Asus
66,16549,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,512,Var,Asus
68,23599,17.3,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,Monster
72,22749,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,Asus
73,28688,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Linux,1920 x 1080,16,6.0,512,Yok,Dell
77,21229,13.3,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2.0,512,Yok,HP
78,12999,15.6,4,1.6,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,512,Var,Lenovo
79,29299,15.6,8,3.2,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6.0,512,Var,Asus
84,13412,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,8,2.0,256,Var,HP
86,20399,15.6,6,3.0,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Yok,Asus
88,24299,15.6,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,HP
89,20939,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,500,Var,Monster
90,13669,15.6,10,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2.0,512,Var,HP
91,30719,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,6.0,500,Var,Monster
92,23279,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,500,Var,Monster
93,32037,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,6.0,1024,Var,Monster
94,22999,16.1,6,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6.0,512,Var,HP
95,20377,15.6,4,1.2,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,16,2.0,512,Var,Lenovo
100,31699,15.6,8,3.2,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6.0,512,Var,Asus
102,19299,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,500,Var,Monster
106,19529,17.3,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Game Garaj
107,21669,17.3,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,500,Var,Monster
108,16061,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,8,2.0,256,Var,Dell
109,21835,17.3,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Game Garaj
113,32630,17.3,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,8.0,512,Var,Acer
118,20069,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,500,Var,Monster
121,16114,15.6,6,3.0,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,Asus
124,20249,16.1,12,3.3,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,512,Var,HP
130,22784,17.3,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,1024,Var,Game Garaj
131,20499,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,Acer
133,46599,15.6,14,2.3,SSD,DDR5,Paylasimsiz,Yok,Freedos,2560 x 1440,32,8.0,1024,Var,Lenovo
138,19685,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,Monster
142,19289,15.6,6,2.2,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4.0,500,Var,Monster
145,25958,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,1024,Var,Lenovo
147,20199,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,Acer
148,18099,17.3,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2.0,512,Var,Lenovo
149,28670,16,8,3.2,SSD,DDR4,Paylasimsiz,Var,Windows,random_cznrlk,16,6.0,512,Var,Lenovo
151,12829,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2.0,256,Var,Lenovo
152,13299,15.6,4,2.4,SSD,DDR4,Paylasimli,Var,Freedos,1920 x 1080,8,2.0,256,Var,Lenovo
157,22582,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2.0,1024,Var,Lenovo
158,12399,15.6,4,1.0,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,512,Var,Lenovo
159,17989,15.6,6,2.1,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,8,4.0,256,Var,Acer
162,28899,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6.0,512,Var,Asus
163,25799,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,500,Var,Monster
168,25399,16.1,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,HP
169,17658,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,250,Var,Casper
173,17189,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,8,4.0,256,Var,Dell
181,19928,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,512,Var,Dell
182,38334,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,64,6.0,512,Var,Dell
185,20457,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,4.0,1024,Var,Casper
192,18399,14,4,2.4,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,32,2.0,256,Var,Lenovo
199,18141,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,250,Var,Casper
211,19299,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,500,Var,Casper
212,16829,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,12,2.0,1024,Var,Lenovo
215,40999,15.6,8,3.2,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,8.0,1024,Var,Asus
220,17755,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,512,Var,Acer
223,13881,15.6,10,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,512,Var,HP
224,13699,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,256,Var,Lenovo
227,18749,15.6,4,2.5,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1280,Var,Asus
228,16599,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,16,2.0,256,Var,Lenovo
231,68699,17.3,14,3.8,SSD,DDR5,Paylasimsiz,Yok,Freedos,2560 x 1440,32,16.0,1024,Var,HP
232,20405,15.6,4,2.5,HDD-SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,1536,Var,Asus
234,23489,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Yok,Asus
236,16850,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,8,2.0,512,Var,Dell
242,21711,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,500,Var,Monster
246,22699,16.1,8,3.2,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,HP
247,27687,17.3,10,3.5,HDD-SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,64,2.0,2560,Var,HP
250,20228,17.3,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,Game Garaj
251,72374,17.3,8,3.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,6.0,1024,Var,Monster
253,22639,17.3,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4.0,500,Var,Monster
